x,y
-0.96923095,0.24615324
-0.57357633,-0.8191521
0.08715574,-0.9961947
0.7283709,-0.68518305
-0.9958049,-0.09150166
-0.8594065,-0.511293
-0.19936775,-0.97992474
0.60181516,-0.7986354
-0.90630776,0.42261833
-0.85035217,0.526214
-0.99939084,0.03489945
-0.785317,-0.61909384
-0.9255405,-0.37864864
-0.56280506,-0.82658964
0.44228873,-0.8968727
-0.33380687,0.9426415
-0.9890159,-0.14780937
-0.72537434,-0.6883546
-0.45399067,-0.89100647
-0.67236686,0.7402181
-0.999229,0.039259743
-0.6977905,0.71630186
-0.9953962,0.09584583
-0.19509038,-0.98078525
-0.9381913,0.3461171
0.35429114,-0.9351352
-0.91176206,0.41071877
-0.9624553,-0.27144042
-0.6087614,0.7933533
-0.9848077,-0.17364822
-0.6122173,0.7906896
-0.9848077,-0.17364822
-0.95371693,0.30070588
-0.4999999,-0.86602545
-0.99405634,-0.10886682
-0.9523958,-0.3048643
-0.69465834,-0.71933985
-0.30070597,-0.9537169
-0.4848096,-0.8746197
-0.9790455,0.2036417
-0.9025853,-0.43051106
-0.77162457,-0.63607824
-0.68835455,-0.7253744
-0.1305264,-0.9914448
-0.9381913,0.3461171
-0.99691737,-0.07845898
-0.3090171,-0.9510565
0.3461172,-0.9381913
-0.7771459,-0.62932044
-0.34202006,-0.9396927
-0.99999046,0.0043631974
-0.90630776,0.42261833
-0.9396926,-0.34202015
0.16934927,-0.9855561
0.13485089,-0.9908659
-0.8362862,-0.5482932
-0.7193398,-0.6946584
-0.49621662,-0.86819875
-0.78801084,-0.6156614
-0.45009843,-0.89297897
-0.0915018,-0.9958049
0.6427875,-0.7660445
-0.9647873,0.26303127
-0.98555607,-0.16934958
-0.71325046,-0.70090926
-0.5112931,-0.8594064
0.22069737,-0.97534233
-0.9945219,-0.104528435
0.004363535,-0.99999046
-0.9496991,0.31316382
-0.99939084,-0.034899388
-0.6225146,-0.78260815
-0.9351352,0.35429105
-0.9972502,-0.0741084
-0.94969916,-0.31316376
-0.7933533,0.6087614
-0.9908659,-0.13485096
-0.8910065,-0.45399055
-0.25037998,-0.96814764
0.71933997,-0.6946582
-0.9135455,0.40673658
0.12619898,-0.99200493
0.4461976,-0.8949345
-0.9692309,-0.2461534
-0.6156615,-0.7880107
-0.7431448,-0.6691306
-0.6494479,-0.7604061
-0.8038568,0.5948229
-0.76884186,-0.639439
-0.83867055,0.54463905
-0.95105654,-0.30901697
-0.22069736,-0.97534233
-0.8549119,0.5187732
-0.6360781,-0.7716246
-0.8241261,0.5664063
-0.88498765,-0.4656145
0.03053859,-0.9995336
-0.8808907,0.47331965
-0.98699635,0.16074252
-0.6427875,-0.76604456
0.008726498,-0.9999619
-0.99904823,0.04361929
-0.99405634,-0.10886682
-0.35836777,-0.9335805
-0.16934972,-0.985556
-0.7880108,0.61566144
-0.9702957,0.24192186
-0.9692309,-0.2461534
0.08715574,-0.9961947
0.59482294,-0.80385673
-0.51129305,0.8594064
-0.91879123,0.39474386
-0.98245037,0.18652408
-0.9986295,-0.052335985
-0.7101854,-0.7040147
-0.13917308,0.99026805
-0.98555607,-0.16934958
