DATE,HOUR,habitacion
2009-10-16,00:01:08.000081,dormitorio
2009-10-16,03:55:48.000049,dormitorio
2009-10-16,03:55:53.000080,baño
2009-10-16,03:58:28.000002,baño
2009-10-16,03:58:42.000014,dormitorio
2009-10-16,08:41:05.000078,dormitorio
2009-10-16,08:45:38.000076,cocina
2009-10-16,08:58:52.000004,cocina
2009-10-16,09:14:47.000090,salon
2009-10-16,10:01:45.000096,salon
2009-10-16,10:01:50.000022,cocina
2009-10-16,10:06:39.000068,cocina
2009-10-16,10:06:41.000015,salon
2009-10-16,10:38:17.000028,salon
2009-10-16,10:40:11.000028,cocina
2009-10-16,10:50:21.000006,cocina
2009-10-16,11:01:25.000094,baño
2009-10-16,11:03:50.000027,baño
2009-10-16,11:03:54.000005,cocina
2009-10-16,11:08:12.000082,cocina
2009-10-16,11:08:47.000051,baño
2009-10-16,11:27:54.000018,baño
2009-10-16,11:28:10.000004,dormitorio
2009-10-16,12:08:00.000036,dormitorio
2009-10-16,12:08:52.000022,television
2009-10-16,12:21:18.000020,television
2009-10-16,12:21:27.000017,baño
2009-10-16,12:23:33.000078,baño
2009-10-16,12:30:05.000086,salon
2009-10-16,14:43:50.000071,salon
2009-10-16,14:55:19.000017,television
2009-10-16,15:37:46.000087,television
2009-10-16,15:38:45.000055,baño
2009-10-16,15:40:53.000013,baño
2009-10-16,15:43:49.000074,cocina
2009-10-16,15:52:25.000010,cocina
2009-10-16,15:52:43.000014,television
2009-10-16,17:22:45.000088,television
2009-10-16,17:26:00.000003,cocina
2009-10-16,17:30:00.000040,cocina
2009-10-16,17:30:02.000065,salon
2009-10-16,17:32:37.000076,salon
2009-10-16,17:32:41.000003,cocina
2009-10-16,17:35:07.000013,cocina
2009-10-16,17:35:34.000054,television
2009-10-16,18:30:14.000001,television
2009-10-16,18:30:19.000092,cocina
2009-10-16,18:50:37.000084,cocina
2009-10-16,18:51:58.000064,television
2009-10-16,20:36:09.000029,television
2009-10-16,20:36:20.000010,cocina
2009-10-16,20:39:09.000031,cocina
2009-10-16,20:41:12.000040,baño
2009-10-16,20:54:29.000053,baño
2009-10-16,20:55:22.000094,salon
2009-10-16,21:01:25.000050,salon
2009-10-16,21:03:14.000048,dormitorio
2009-10-16,21:29:11.000031,dormitorio
2009-10-16,21:29:11.000043,baño
2009-10-16,21:31:00.000057,baño
2009-10-16,22:21:23.000034,dormitorio
2009-10-17,09:15:18.000009,dormitorio
2009-10-17,09:17:02.000079,cocina
2009-10-17,09:20:09.000046,cocina
2009-10-17,09:24:27.000012,salon
2009-10-17,10:35:43.000048,salon
2009-10-17,10:35:50.000049,cocina
2009-10-17,12:06:33.000020,cocina
2009-10-17,12:08:31.000032,salon
2009-10-17,12:47:54.000083,salon
2009-10-17,12:50:29.000039,cocina
2009-10-17,13:21:16.000034,cocina
2009-10-17,13:23:47.000048,salon
2009-10-17,13:26:33.000057,salon
2009-10-17,13:28:14.000018,television
2009-10-17,13:31:44.000097,television
2009-10-17,13:33:37.000025,baño
2009-10-17,13:39:11.000035,baño
2009-10-17,13:39:25.000075,salon
2009-10-17,14:32:23.000049,salon
2009-10-17,14:33:06.000068,television
2009-10-17,14:54:46.000043,television
2009-10-17,14:54:50.000006,salon
2009-10-17,15:40:14.000073,salon
2009-10-17,15:41:49.000025,cocina
2009-10-17,15:43:47.000068,cocina
2009-10-17,15:44:57.000039,salon
2009-10-17,15:58:59.000077,salon
2009-10-17,15:59:05.000091,cocina
2009-10-17,16:01:58.000017,cocina
2009-10-17,16:02:04.000010,salon
2009-10-17,16:09:54.000005,salon
2009-10-17,16:10:10.000062,baño
2009-10-17,16:12:02.000092,baño
2009-10-17,16:12:03.000081,salon
